#Command: python /pacific/home/mdejesus//TRASH/mean_counts.py -f glycerol_H37Rv_rep1.wig,glycerol_H37Rv_rep2.wig -pt /pacific/home/mdejesus//TRASH/H37Rv.gff3 -n TTR -o normalized_counts3.txt
#Summarized to Mean Gene Counts with TRANSIT.
#Reads normalized using 'TTR'
#Normalization Factors: 2.286197257382532 1.4371695843583265
#Files:
#glycerol_H37Rv_rep1.wig
#glycerol_H37Rv_rep2.wig
#Orf	Name	Number of TA sites	glycerol_H37Rv_rep1.wig	glycerol_H37Rv_rep2.wig
Rv1368	lprF	7	512.76	587.60
Rv1369c	-	23	130.21	125.16
Rv1370c	-	4	182.90	138.69
Rv1371	-	30	51.29	46.56
Rv1372	-	18	36.45	20.36
Rv1373	-	19	187.59	223.59
Rv1374c	-	14	137.83	143.82
Rv1375	-	22	427.52	365.89
Rv1376	-	16	326.64	316.72
Rv1377c	-	13	166.36	186.83
Rv1378c	-	24	298.92	258.15
Rv1379	pyrR	7	17.31	0.00
Rv1380	pyrB	13	0.00	0.00
Rv1381	pyrC	11	0.00	0.00
Rv1382	-	6	0.00	0.00
Rv1383	carA	12	0.00	0.00
Rv1384	carB	46	0.00	0.00
Rv1385	pyrF	6	0.00	0.00
Rv1386	PE15	6	171.08	262.76
Rv1387	PPE20	26	130.23	155.99
Rv1388	mihF	7	4.57	6.16
Rv1389	gmk	6	0.00	0.00
Rv1390	rpoZ	7	0.00	0.00
Rv1391	dfp	20	0.11	0.07
Rv1392	metK	19	0.00	0.00
Rv1393c	-	27	167.06	186.03
Rv1394c	cyp132	19	203.59	160.96
Rv1395	-	17	81.77	67.63
Rv1396c	PE_PGRS25	12	55.44	102.28
Rv1397c	-	6	41.53	18.68
Rv1398c	-	4	262.34	247.19
Rv1399c	lipH	15	107.45	148.12
Rv1400c	lipI	18	26.29	18.76
Rv1401	-	8	15.15	11.32
Rv1402	priA	27	0.00	0.00
Rv1403c	-	16	206.33	195.99
Rv1404	-	7	4.25	0.00
Rv1405c	-	12	223.09	204.32
Rv1406	fmt	9	0.00	0.00
Rv1407	fmu	21	185.84	152.68
Rv1408	rpe	13	0.00	9.73
Rv1409	ribG	13	0.00	0.00
Rv1410c	-	30	47.55	58.40
Rv1411c	lprG	9	171.21	49.34
Rv1412	ribC	7	0.33	7.60
Rv1413	-	6	432.09	536.78
Rv1414	-	4	16.00	34.85
Rv1415	ribA2	15	0.00	0.00
Rv1416	ribH	4	0.00	0.00
Rv1417	-	8	61.44	40.24
Rv1418	lprH	14	161.01	77.50
Rv1419	-	5	30.18	110.37
Rv1420	uvrC	29	8.67	4.96
Rv1421	-	20	4.46	33.99
Rv1422	-	11	19.74	14.11
Rv1423	whiA	11	0.00	37.50
Rv1424c	-	19	60.04	61.87
Rv1425	-	18	187.47	171.58
Rv1426c	lipO	28	43.11	53.18
Rv1427c	fadD12	19	43.32	92.51
Rv1428c	-	18	122.82	126.23
Rv1429	-	22	168.45	116.87
Rv1430	PE16	39	92.21	77.90
Rv1431	-	25	157.84	105.37
Rv1432	-	16	15.15	20.93
Rv1433	-	17	216.65	144.56
Rv1434	-	1	43.44	48.86
Rv1435c	-	16	79.16	73.65
Rv1436	gap	14	0.00	0.00
Rv1437	pgk	16	0.00	0.00
Rv1438	tpiA	15	0.00	0.00
Rv1439c	-	7	265.53	240.83
Rv1440	secG	5	10.52	68.12
Rv1441c	PE_PGRS26	18	102.62	82.32
Rv1442	bisC	37	295.97	234.18
Rv1443c	-	2	0.00	0.00
Rv1444c	-	3	38.87	16.77
Rv1445c	devB	9	17.78	34.01
Rv1446c	opcA	15	22.40	26.44
Rv1447c	zwf2	19	61.49	23.15
Rv1448c	tal	13	11.43	18.79
Rv1449c	tkt	26	3.61	8.57
Rv1450c	PE_PGRS27	32	104.59	95.80
Rv1451	ctaB	16	0.00	0.00
Rv1452c	PE_PGRS28	17	275.96	243.14
Rv1453	-	11	690.02	498.57
Rv1454c	qor	16	250.77	333.06
Rv1455	-	12	469.81	377.14
Rv1456c	-	15	0.46	10.25
Rv1457c	-	8	0.00	0.00
Rv1458c	-	14	4.08	3.70
Rv1459c	-	26	85.47	55.72
Rv1460	-	9	76.71	114.97
Rv1461	-	59	0.00	0.00
Rv1462	-	14	0.00	0.00
Rv1463	-	12	0.00	0.00
Rv1464	csd	15	0.00	0.00
Rv1465	-	8	0.00	8.62
Rv1466	-	1	0.00	0.00
Rv1467c	fadE15	28	191.80	160.76
Rv1468c	PE_PGRS29	10	38.41	48.72
Rv1469	ctpD	20	104.71	76.96
Rv1470	trxA	5	121.17	115.84
Rv1471	trxB1	3	137.93	70.42
Rv1472	echA12	15	235.63	141.13
Rv1473	-	25	145.13	83.30
Rv1473A	-	4	53.15	27.67
Rv1474c	-	8	17.15	34.13
Rv1475c	acn	56	2.37	2.21
Rv1476	-	6	0.00	0.00
Rv1477	-	24	43.53	3.65
Rv1478	-	9	223.79	139.57
Rv1479	moxR1	14	0.00	0.00
Rv1480	-	6	41.15	113.30
Rv1481	-	13	0.00	0.00
Rv1482c	-	14	139.62	165.89
Rv1483	fabG1	13	0.00	0.00
Rv1484	inhA	9	0.00	0.00
Rv1485	hemH	25	0.00	0.00
Rv1486c	-	8	137.17	120.36
Rv1487	-	3	89.92	69.46
Rv1488	-	15	358.78	261.28
Rv1489	-	6	285.77	369.83
Rv1489A	-	4	22.86	98.45
Rv1490	-	38	34.71	24.47
Rv1491c	-	15	101.20	181.08
Rv1492	mutA	16	133.46	100.15
Rv1493	mutB	31	121.46	129.76
Rv1494	-	8	186.61	75.81
Rv1495	-	6	240.43	217.25
Rv1496	-	8	76.02	47.43
Rv1497	lipL	16	174.75	199.41
Rv1498c	-	16	126.60	111.74
Rv1498A	-	3	238.53	148.51
Rv1499	-	5	176.95	167.57
Rv1500	-	36	34.80	56.97
Rv1501	-	33	49.40	44.51
Rv1502	-	33	7.48	7.71
Rv1503c	-	18	197.76	137.41
Rv1504c	-	12	178.51	215.81
Rv1505c	-	27	21.08	17.51
Rv1506c	-	20	26.29	58.92
Rv1507c	-	29	0.55	9.76
Rv1507A	-	18	22.10	46.23
Rv1508c	-	43	245.74	250.90
Rv1508A	-	13	74.57	55.50
Rv1509	-	20	38.52	26.59
Rv1510	-	23	292.04	316.74
Rv1511	gmdA	20	264.63	345.35
Rv1512	epiA	13	0.00	0.00
Rv1513	-	7	13.39	7.60
Rv1514c	-	18	121.30	106.43
Rv1515c	-	18	85.86	40.48
Rv1516c	-	11	154.21	88.06
Rv1517	-	15	58.98	55.38
Rv1518	-	12	30.67	68.27
Rv1519	-	3	43.44	71.38
Rv1520	-	25	153.82	190.91
Rv1521	fadD25	38	73.58	58.55
Rv1522c	mmpL12	52	89.07	117.32
Rv1523	-	21	139.68	125.24
Rv1524	-	13	123.81	82.36
Rv1525	wbbL2	22	21.30	8.30
Rv1526c	-	19	36.82	37.06
Rv1527c	pks5	100	134.06	115.99
Rv1528c	papA4	7	217.84	164.45
Rv1529	fadD24	37	63.95	61.57
Rv1530	adh	25	44.35	42.37
Rv1531	-	8	29.43	68.62
Rv1532c	-	5	31.09	99.45
Rv1533	-	11	101.22	64.28
Rv1534	-	17	151.02	95.28
Rv1535	-	4	328.64	397.74
Rv1536	ileS	79	0.00	0.00
Rv1537	dinX	14	34.78	128.01
Rv1538c	ansA	14	0.00	0.00
Rv1539	lspA	9	2.79	26.51
Rv1540	-	14	0.00	0.00
Rv1541c	lprI	9	160.29	346.20
Rv1542c	glbN	8	298.35	231.20
Rv1543	-	15	99.07	126.66
Rv1544	-	11	78.98	217.93
Rv1545	-	3	221.00	215.58
Rv1546	-	5	144.49	206.09
Rv1547	dnaE	47	0.00	0.00
Rv1548c	PPE21	42	48.88	54.34
Rv1549	fadD11.1	9	457.24	617.50
Rv1550	fadD11	28	195.96	175.44
Rv1551	plsB1	33	30.83	61.71
Rv1552	frdA	40	52.81	56.84
Rv1553	frdB	14	175.22	123.39
Rv1554	frdC	10	122.31	163.69
Rv1555	frdD	4	465.24	592.83
Rv1556	-	14	111.70	102.96
Rv1557	mmpL6	20	97.05	108.79
Rv1558	-	9	358.68	401.93
Rv1559	ilvA	26	0.00	0.00
Rv1560	-	3	0.00	7.66
Rv1561	-	9	35.06	20.28
Rv1562c	treZ	37	27.87	21.95
Rv1563c	treY	36	42.04	36.85
Rv1564c	treX	49	67.09	105.56
Rv1565c	-	46	0.00	4.31
Rv1566c	-	10	23.09	10.20
Rv1567c	-	9	253.26	301.97
Rv1568	bioA	16	0.00	0.00
Rv1569	bioF1	7	0.00	8.42
Rv1570	bioD	2	0.00	0.00
Rv1571	-	3	0.00	0.00
Rv1572c	-	1	0.00	0.00
Rv1573	-	1	0.00	0.00
Rv1574	-	3	12.19	0.00
Rv1575	-	10	34.98	2.01
Rv1576c	-	10	0.00	0.29
Rv1577c	-	8	20.58	7.90
Rv1578c	-	4	0.00	0.72
Rv1579c	-	4	88.59	64.31
Rv1580c	-	5	40.69	77.61
Rv1581c	-	7	269.12	147.21
Rv1582c	-	32	34.51	39.66
Rv1583c	-	5	17.83	47.43
Rv1584c	-	3	243.86	272.58
Rv1585c	-	9	0.00	11.18
Rv1586c	-	24	146.32	161.26
Rv1587c	-	15	80.93	110.57
Rv1588c	-	11	67.96	56.31
Rv1589	bioB	10	0.00	0.00
Rv1590	-	3	0.00	0.00
Rv1591	-	8	367.79	349.41
Rv1592c	-	25	406.67	243.57
Rv1593c	-	12	22.29	90.18
Rv1594	nadA	10	0.00	0.00
Rv1595	nadB	24	0.00	0.00
Rv1596	nadC	14	0.65	25.36
Rv1597	-	12	202.90	264.80
Rv1598c	-	9	143.52	129.66
Rv1599	hisD	17	0.00	0.00
Rv1600	hisC1	26	0.00	0.00
Rv1601	hisB	15	0.00	0.00
Rv1602	hisH	10	0.00	0.00
Rv1603	hisA	9	0.00	0.00
Rv1604	impA	13	18.29	45.22
Rv1605	hisF	7	0.00	0.00
Rv1606	hisI	8	0.00	0.00
Rv1607	chaA	10	73.62	161.97
Rv1608c	bcpB	8	95.73	105.99
Rv1609	trpE	25	0.00	0.00
Rv1610	-	6	0.00	9.34
Rv1611	trpC	11	0.00	0.00
Rv1612	trpB	18	0.00	0.00
Rv1613	trpA	19	0.00	0.00
Rv1614	lgt	27	45.05	28.05
Rv1615	-	9	109.48	188.75
Rv1616	-	11	135.51	168.02
Rv1617	pykA	13	0.00	0.00
Rv1618	tesB1	18	293.27	210.39
Rv1619	-	23	62.72	51.86
Rv1620c	cydC	19	2.05	9.30
Rv1621c	cydD	20	0.00	0.93
Rv1622c	cydB	22	0.00	1.76
Rv1623c	cydA	23	3.78	25.24
Rv1624c	-	5	155.00	231.96
Rv1625c	cya	31	402.81	411.03
Rv1626	-	5	299.49	365.90
Rv1627c	-	19	142.71	97.80
Rv1628c	-	7	162.65	152.34
Rv1629	polA	42	9.09	8.32
Rv1630	rpsA	17	0.00	0.00
Rv1631	coaE	12	0.00	0.00
Rv1632c	-	11	580.28	276.07
Rv1633	uvrB	38	31.10	33.85
Rv1634	-	33	375.63	432.63
Rv1635c	-	32	128.03	210.95
Rv1636	TB15.3	9	0.00	0.00
Rv1637c	-	13	846.60	600.41
Rv1638	uvrA	39	34.06	39.39
Rv1638A	-	5	32.01	111.52
Rv1639c	-	18	218.33	140.60
Rv1640c	lysS	65	33.06	47.18
Rv1641	infC	11	0.00	1.44
Rv1642	rpmI	1	0.00	0.00
Rv1643	rplT	8	0.00	0.00
Rv1644	tsnR	11	267.49	352.24
Rv1645c	-	23	478.01	372.60
Rv1646	PE17	18	249.45	228.75
Rv1647	-	11	186.84	184.35
Rv1648	-	14	155.46	253.25
Rv1649	pheS	13	0.00	0.00
Rv1650	pheT	37	0.00	0.00
Rv1651c	PE_PGRS30	54	201.82	177.81
Rv1652	argC	15	0.00	0.00
Rv1653	argJ	5	305.89	74.16
Rv1654	argB	4	0.00	0.00
Rv1655	argD	10	0.00	0.00
Rv1656	argF	5	0.00	0.00
Rv1657	argR	3	502.96	366.96
Rv1658	argG	18	0.00	0.00
Rv1659	argH	8	0.00	0.00
Rv1660	pks10	11	147.98	184.09
Rv1661	pks7	81	31.16	37.99
Rv1662	pks8	67	6.28	13.96
Rv1663	pks17	18	65.54	28.58
Rv1664	pks9	47	34.05	51.22
Rv1665	pks11	13	2.46	50.85
Rv1666c	cyp139	20	254.68	200.63
Rv1667c	-	11	204.51	291.75
Rv1668c	-	14	174.08	123.70
Rv1669	-	9	85.35	49.98
Rv1670	-	10	157.29	62.80
Rv1671	-	15	52.89	38.23
Rv1672c	-	21	111.26	81.10
Rv1673c	-	15	69.81	46.28
Rv1674c	-	9	135.90	126.47
Rv1675c	-	11	135.09	248.37
Rv1676	-	10	68.59	52.74
Rv1677	dsbF	12	2.86	48.62
Rv1678	-	10	100.59	39.23
Rv1679	fadE16	10	51.21	40.67
Rv1680	-	15	57.46	77.99
Rv1681	moeX	15	202.25	220.08
Rv1682	-	15	52.28	39.95
Rv1683	-	41	9.09	15.95
Rv1684	-	4	0.00	0.00
Rv1685c	-	7	0.00	0.00
Rv1686c	-	13	72.81	72.74
Rv1687c	-	11	104.96	80.48
Rv1688	mpg	8	239.76	231.74
Rv1689	tyrS	20	0.00	0.00
Rv1690	lprJ	8	46.01	113.00
Rv1691	-	11	40.11	35.41
Rv1692	-	12	146.51	197.01
Rv1693	-	1	249.20	359.29
Rv1694	tlyA	10	68.59	71.28
Rv1695	ppnK	7	0.00	0.00
Rv1696	recN	21	21.34	59.68
Rv1697	-	17	0.00	10.31
Rv1698	-	13	0.00	21.12
Rv1699	pyrG	37	0.00	0.00
Rv1700	-	11	0.00	3.40
Rv1701	xerD	14	34.13	35.31
Rv1702c	-	24	185.66	172.34
Rv1703c	-	14	182.73	171.13
Rv1704c	cycA	22	225.09	140.39
Rv1705c	PPE22	26	154.14	162.73
Rv1706c	PPE23	20	229.53	218.52
Rv1706A	-	2	0.00	0.00
Rv1707	-	22	254.70	272.02
Rv1708	-	19	9.39	1.66
Rv1709	-	11	16.21	97.20
Rv1710	-	15	52.28	73.68
Rv1711	-	10	0.00	0.00
Rv1712	cmk	13	0.00	0.22
Rv1713	engA	12	0.00	0.00
Rv1714	-	8	106.31	52.64
Rv1715	fadB3	9	31.24	46.15
Rv1716	-	12	23.05	112.58
Rv1717	-	4	309.78	390.19
Rv1718	-	7	187.47	191.14
Rv1719	-	7	89.16	28.33
Rv1720c	-	9	85.61	53.18
Rv1721c	-	2	118.88	18.68
Rv1722	-	23	345.91	280.37
Rv1723	-	17	237.76	242.04
Rv1724c	-	13	117.30	123.38
Rv1725c	-	13	251.13	139.18
Rv1726	-	16	197.33	166.35
Rv1727	-	6	315.11	202.88
Rv1728c	-	20	93.96	89.68
Rv1729c	-	22	28.37	24.69
Rv1730c	-	30	67.06	41.06
Rv1731	gabD2	25	185.36	100.66
Rv1732c	-	8	78.59	72.58
Rv1733c	-	5	11.43	129.35
Rv1734c	-	3	137.93	257.73
Rv1735c	-	7	39.85	55.23
Rv1736c	narX	42	207.83	239.67
Rv1737c	narK2	15	168.26	217.30
Rv1738	-	3	291.87	75.69
Rv1739c	-	41	112.64	112.94
Rv1740	-	4	95.45	46.71
Rv1741	-	7	238.09	240.42
Rv1742	-	13	243.57	192.25
Rv1743	pknE	33	214.56	235.57
Rv1744c	-	7	287.73	228.30
Rv1745c	idi	14	121.82	105.63
Rv1746	pknF	13	186.94	225.30
Rv1747	-	33	208.11	261.22
Rv1748	-	12	357.22	293.18
Rv1749c	-	16	55.30	106.26
Rv1750c	fadD1	40	114.65	94.78
Rv1751	-	19	45.12	31.47
Rv1752	-	5	104.25	35.07
Rv1753c	PPE24	66	22.20	23.39
Rv1754c	-	40	133.69	141.45
Rv1755c	plcD	19	3.13	10.82
Rv1756c	-	23	137.97	129.66
Rv1757c	-	4	174.89	129.35
Rv1758	cut1	11	269.15	228.77
Rv1759c	wag22	26	106.22	155.66
Rv1760	-	28	334.52	274.70
Rv1761c	-	6	181.37	326.24
Rv1762c	-	10	352.76	250.07
Rv1763	-	4	177.18	150.18
Rv1764	-	23	132.10	126.16
Rv1765c	-	7	152.52	181.29
Rv1765A	-	3	10.67	215.58
Rv1766	-	3	96.02	22.99
Rv1767	-	7	161.01	189.50
Rv1768	PE_PGRS31	21	408.25	365.25
Rv1769	-	22	173.54	217.40
Rv1770	-	17	538.20	433.18
Rv1771	-	26	152.74	178.71
Rv1772	-	4	9.72	20.48
Rv1773c	-	11	96.44	115.10
Rv1774	-	30	157.21	137.49
Rv1775	-	14	191.55	226.66
Rv1776c	-	12	53.92	60.00
Rv1777	cyp144	27	73.24	83.04
Rv1778c	-	5	5.49	3.45
Rv1779c	-	14	26.62	79.04
Rv1780	-	13	284.02	486.32
Rv1781c	malQ	27	302.88	262.31
Rv1782	-	20	2.97	49.73
Rv1783	-	17	0.00	0.08
Rv1784	-	41	5.13	24.57
Rv1785c	cyp143	22	33.57	69.57
Rv1786	-	1	246.91	551.87
Rv1787	PPE25	19	296.12	301.73
Rv1788	PE18	5	496.56	378.84
Rv1789	PPE26	20	426.38	298.79
Rv1790	PPE27	20	294.23	321.06
Rv1791	PE19	6	12.96	9.82
Rv1793	esxN	5	93.73	140.27
Rv1794	-	22	0.00	36.97
Rv1795	-	22	25.46	91.26
Rv1796	mycP5	36	7.11	50.58
Rv1797	-	15	0.00	1.44
Rv1798	-	30	3.58	30.95
Rv1799	lppT	2	155.46	152.34
Rv1800	PPE28	40	160.32	163.26
Rv1801	PPE29	25	281.84	280.65
Rv1802	PPE30	21	280.98	374.76
Rv1803c	PE_PGRS32	34	100.93	121.27
Rv1804c	-	10	158.43	234.26
Rv1805c	-	6	12.19	2.63
Rv1806	PE20	5	0.00	72.72
Rv1807	PPE31	21	86.66	91.16
Rv1808	PPE32	29	316.28	327.53
Rv1809	PPE33	24	90.30	105.69
Rv1810	-	12	173.37	179.17
Rv1811	mgtC	16	704.01	707.45
Rv1812c	-	23	367.48	251.25
Rv1813c	-	9	68.84	87.35
Rv1814	erg3	24	326.55	249.83
Rv1815	-	8	216.90	143.00
Rv1816	-	15	41.76	133.47
Rv1817	-	29	296.02	238.77
Rv1818c	PE_PGRS33	16	135.74	89.28
Rv1819c	-	33	421.35	253.33
Rv1820	ilvG	20	277.66	441.43
Rv1821	secA2	39	41.74	23.18
Rv1822	pgsA2	17	22.19	11.92
Rv1823	-	15	67.82	66.30
Rv1824	-	5	104.71	104.91
Rv1825	-	10	165.98	215.29
Rv1826	gcvH	9	0.00	0.00
Rv1827	cfp17	8	0.00	0.00
Rv1828	-	14	0.00	0.00
Rv1829	-	9	63.51	51.58
Rv1830	-	11	4.36	1.96
Rv1831	-	5	213.07	141.42
Rv1832	gcvB	57	0.00	0.00
Rv1833c	-	14	111.86	102.55
Rv1834	-	12	267.87	291.39
Rv1835c	-	41	267.21	239.52
Rv1836c	-	43	0.05	1.84
Rv1837c	glcB	26	11.17	1.71
Rv1838c	-	10	745.99	480.88
Rv1839c	-	3	80.78	106.35
Rv1840c	PE_PGRS34	16	49.44	78.51
Rv1841c	-	13	71.05	169.25
Rv1842c	-	16	97.16	153.15
Rv1843c	guaB1	23	567.37	750.14
Rv1844c	gnd1	17	401.29	432.42
Rv1845c	-	14	0.00	16.42
Rv1846c	-	3	84.59	169.59
Rv1847	-	5	352.99	427.99
Rv1848	ureA	2	472.10	169.59
Rv1849	ureB	6	14.86	27.31
Rv1850	ureC	18	85.35	76.89
Rv1851	ureF	2	35.44	94.85
Rv1852	ureG	5	103.34	121.01
Rv1853	ureD	6	3.81	20.60
Rv1854c	ndh	19	0.00	0.00
Rv1855c	-	14	186.33	206.23
Rv1856c	-	5	58.07	67.83
Rv1857	modA	6	198.90	187.31
Rv1858	modB	22	251.69	240.01
Rv1859	modC	16	153.60	200.40
Rv1860	apa	16	165.32	116.32
Rv1861	-	7	44.09	43.32
Rv1862	adhA	15	334.55	234.16
Rv1863c	-	10	370.59	396.66
Rv1864c	-	10	563.55	554.60
Rv1865c	-	13	144.21	225.53
Rv1866	-	34	65.29	47.22
Rv1867	-	20	85.05	133.30
Rv1868	-	32	165.61	157.77
Rv1869c	-	26	141.39	128.07
Rv1870c	-	12	141.55	88.75
Rv1871c	-	9	122.95	98.05
Rv1872c	lldD2	14	481.41	245.55
Rv1873	-	10	407.63	402.84
Rv1874	-	12	147.08	305.52
Rv1875	-	5	242.79	236.85
Rv1876	bfrA	10	174.44	149.47
Rv1877	-	33	298.45	298.15
Rv1878	glnA3	27	163.84	105.82
Rv1879	-	19	155.22	85.40
Rv1880c	cyp140	16	181.90	138.51
Rv1881c	lppE	8	65.44	261.92
Rv1882c	-	15	349.79	264.73
Rv1883c	-	7	189.75	238.36
Rv1884c	rpfC	6	172.61	127.67
Rv1885c	-	14	180.12	195.46
Rv1886c	fbpB	25	225.51	172.12
Rv1887	-	25	288.52	251.10
Rv1888c	-	18	128.15	161.20
Rv1888A	-	0	0.00	0.00
Rv1889c	-	4	12.00	8.98
Rv1890c	-	8	62.01	250.07
Rv1891	-	8	110.02	78.86
Rv1892	-	7	510.15	271.01
Rv1893	-	0	0.00	0.00
Rv1894c	-	14	575.96	333.32
Rv1895	-	18	96.91	122.16
Rv1896c	-	24	88.88	120.78
Rv1897c	-	5	11.89	77.03
Rv1898	-	3	118.88	299.89
Rv1899c	lppD	13	312.15	344.81
Rv1900c	lipJ	24	145.75	109.28
Rv1901	cinA	18	174.01	216.05
Rv1902c	nanT	33	174.31	133.70
Rv1903	-	5	487.87	300.08
Rv1904	-	10	448.55	372.66
Rv1905c	aao	18	231.67	222.36
Rv1906c	-	9	168.42	191.30
Rv1907c	-	10	63.10	172.17
Rv1908c	katG	39	0.00	0.00
Rv1909c	furA	12	8.00	66.71
Rv1910c	-	13	259.92	178.10
Rv1911c	lppC	9	77.73	57.33
Rv1912c	fadB5	15	38.87	120.53
Rv1913	-	11	54.25	24.56
Rv1914c	-	7	63.69	69.39
Rv1915	aceAa	21	106.04	124.01
Rv1916	aceAb	17	130.04	73.55
Rv1917c	PPE34	121	104.05	70.02
Rv1918c	PPE35	75	51.64	42.14
Rv1919c	-	7	179.30	337.94
Rv1920	-	12	74.30	183.96
Rv1921c	lppF	22	176.56	252.48
Rv1922	-	20	302.92	220.82
Rv1923	lipD	34	296.94	206.57
Rv1924c	-	11	187.68	120.07
Rv1925	fadD31	38	230.79	185.55
Rv1926c	mpt63	8	11.72	57.85
Rv1927	-	17	259.95	240.18
Rv1928c	-	18	89.67	148.83
Rv1929c	-	9	135.39	101.56
Rv1930c	-	5	9.14	20.12
Rv1931c	-	5	43.44	55.19
Rv1932	tpx	8	73.44	71.86
Rv1933c	fadE18	10	26.75	52.17
Rv1934c	fadE17	12	226.91	176.05
Rv1935c	echA13	10	74.76	125.46
Rv1936	-	17	322.22	361.49
Rv1937	-	48	156.94	93.63
Rv1938	ephB	17	45.45	78.54
Rv1939	-	5	31.55	77.03
Rv1940	ribA1	9	219.73	298.45
Rv1941	-	4	113.17	48.50
Rv1942c	-	2	1.14	54.61
Rv1943c	-	10	102.65	126.33
Rv1944c	-	8	70.30	45.99
Rv1945	-	21	104.95	96.63
Rv1946c	lppG	7	138.15	116.21
Rv1947	-	5	96.48	152.63
Rv1948c	-	17	24.74	33.48
Rv1949c	-	21	100.05	98.41
Rv1950c	-	6	404.28	219.17
Rv1951c	-	5	35.21	15.23
Rv1952	-	2	206.90	51.74
Rv1953	-	12	201.95	199.05
Rv1954c	-	11	277.88	230.34
Rv1955	-	9	288.82	225.80
Rv1956	-	8	443.24	407.26
Rv1957	-	13	42.21	43.56
Rv1958c	-	11	109.32	117.59
Rv1959c	-	7	208.04	104.30
Rv1960c	-	4	270.34	130.42
Rv1961	-	10	155.00	93.85
Rv1962c	-	14	176.85	104.91
Rv1963c	mce3R	18	51.06	91.10
Rv1964	yrbE3A	7	172.77	172.46
Rv1965	yrbE3B	15	184.12	190.38
Rv1966	mce3A	15	130.47	84.70
Rv1967	mce3B	13	244.45	237.02
Rv1968	mce3C	12	65.35	46.71
Rv1969	mce3D	13	75.44	71.75
Rv1970	lprM	10	37.49	12.22
Rv1971	mce3F	20	147.35	213.20
Rv1972	-	5	49.84	87.67
Rv1973	-	4	398.37	89.46
Rv1974	-	8	350.65	206.05
Rv1975	-	13	530.57	322.48
Rv1976c	-	3	165.37	213.66
Rv1977	-	13	384.43	238.46
Rv1978	-	14	121.66	176.36
Rv1979c	-	38	228.26	165.16
Rv1980c	mpt64	19	243.54	230.70
Rv1981c	nrdF	24	438.28	362.35
Rv1982c	-	5	158.20	183.38
Rv1983	PE_PGRS35	34	295.59	308.40
Rv1984c	cfp21	13	87.75	78.16
Rv1985c	-	14	168.36	174.62
Rv1986	-	8	96.88	111.02
Rv1987	-	9	161.81	102.20
Rv1988	-	6	223.29	227.55
Rv1989c	-	11	205.13	210.22
Rv1990c	-	6	0.00	0.00
Rv1990A	-	4	195.47	41.68
Rv1991c	-	6	181.37	240.25
Rv1992c	ctpG	34	199.44	217.44
Rv1993c	-	5	333.33	344.35
Rv1994c	-	8	63.16	25.69
Rv1995	-	8	580.41	501.39
Rv1996	-	13	175.86	146.26
Rv1997	ctpF	29	195.04	100.50
Rv1998c	-	19	65.70	71.40
Rv1999c	-	26	230.64	192.08
Rv2000	-	35	303.15	192.95
Rv2001	-	15	83.52	76.17
Rv2002	fabG3	10	129.40	89.25
Rv2003c	-	13	92.85	121.39
Rv2004c	-	25	72.70	54.04
Rv2005c	-	13	127.32	101.15
Rv2006	otsB1	82	64.71	64.57
Rv2007c	fdxA	8	284.35	192.40
Rv2008c	-	29	55.74	40.49
Rv2009	-	4	157.18	71.14
Rv2010	-	7	336.07	255.41
Rv2011c	-	6	38.48	18.68
Rv2012	-	11	259.38	255.95
Rv2013	-	3	108.98	20.12
Rv2014	-	4	152.03	152.70
Rv2015c	-	11	174.17	176.77
Rv2016	-	7	105.17	183.55
Rv2017	-	12	0.00	0.00
Rv2018	-	14	0.00	5.95
Rv2019	-	6	203.85	206.95
Rv2020c	-	4	557.83	316.18
Rv2021c	-	6	550.59	472.83
Rv2022c	-	13	406.42	378.31
Rv2023c	-	2	80.02	62.52
Rv2024c	-	15	228.77	200.34
Rv2025c	-	11	86.88	52.78
Rv2026c	-	11	8.11	26.52
Rv2027c	-	15	182.90	197.28
Rv2028c	-	13	158.98	158.53
Rv2029c	pfkB	11	240.88	190.36
Rv2030c	-	34	140.33	123.55
Rv2031c	hspX	8	208.04	173.18
Rv2032	acg	18	71.89	93.82
Rv2033c	-	11	62.77	64.28
Rv2034	-	3	3.81	11.02
Rv2035	-	12	178.51	119.76
Rv2036	-	9	7.11	28.74
Rv2037c	-	16	46.58	23.08
Rv2038c	-	17	6.19	16.65
Rv2039c	-	16	54.15	19.76
Rv2040c	-	18	51.06	51.50
Rv2041c	-	25	103.15	93.47
Rv2042c	-	15	161.56	69.37
Rv2043c	pncA	12	218.71	165.03
Rv2044c	-	7	57.48	73.50
Rv2045c	lipT	29	62.83	77.85
Rv2046	lppI	10	391.17	182.81
Rv2047c	-	32	2.00	18.01
Rv2048c	pks12	147	5.40	8.60
Rv2049c	-	1	182.90	120.72
Rv2050	-	5	0.00	0.00
Rv2051c	ppm1	33	73.16	41.81
Rv2052c	-	21	245.49	174.79
Rv2053c	fxsA	4	474.96	700.26
Rv2054	-	16	265.63	289.68
Rv2055c	rpsR	3	86.11	89.10
Rv2056c	rpsN	3	0.00	14.37
Rv2057c	rpmG	4	296.06	197.97
Rv2058c	rpmB	5	420.20	469.38
Rv2059	-	20	128.14	91.48
Rv2060	-	3	16.00	13.41
Rv2061c	-	6	97.93	44.31
Rv2062c	cobN	50	46.50	69.24
Rv2063	-	3	0.00	1.92
